iter	Passed	Remaining
0	4	4280
1	9	4805
2	14	4760
3	18	4690
4	23	4654
5	27	4575
6	31	4521
7	36	4507
8	40	4491
9	44	4366
10	48	4355
11	53	4404
12	57	4394
13	62	4385
14	66	4397
15	71	4399
16	75	4388
17	80	4377
18	83	4330
19	87	4299
20	91	4258
21	94	4220
22	99	4234
23	103	4221
24	106	4171
25	110	4127
26	114	4110
27	118	4096
28	121	4053
29	124	4017
30	127	3984
31	132	3995
32	135	3964
33	138	3934
34	141	3907
35	143	3853
36	148	3864
37	151	3844
38	155	3825
39	158	3795
40	162	3790
41	165	3775
42	168	3748
43	171	3727
44	174	3701
45	177	3691
46	184	3750
47	189	3756
48	194	3784
49	199	3790
50	203	3794
51	208	3807
52	213	3820
53	218	3836
54	223	3840
55	227	3835
56	231	3837
57	235	3820
58	238	3808
59	243	3818
60	248	3818
61	252	3818
62	256	3811
63	260	3807
64	265	3812
65	268	3797
66	272	3796
67	276	3789
68	280	3786
69	284	3780
70	289	3782
71	292	3769
72	295	3752
73	298	3736
74	302	3727
75	305	3719
76	308	3694
77	311	3680
78	314	3666
79	318	3668
80	322	3656
81	325	3645
82	328	3631
83	331	3617
84	336	3618
85	339	3613
86	343	3602
87	346	3591
88	350	3587
89	354	3582
90	358	3585
91	363	3583
92	366	3577
93	369	3558
94	372	3553
95	376	3543
96	379	3536
97	384	3538
98	387	3527
99	390	3518
100	393	3503
101	397	3500
102	401	3493
103	404	3485
104	408	3478
105	411	3474
106	416	3477
107	420	3471
108	423	3464
109	427	3459
110	433	3472
111	437	3465
112	440	3457
113	443	3448
114	447	3445
115	452	3447
116	457	3449
117	462	3454
118	466	3456
119	493	3618
120	501	3642
121	506	3645
122	512	3651
123	516	3646
124	518	3627
125	521	3618
126	526	3622
127	534	3644
128	541	3656
129	546	3658
130	551	3658
131	557	3666
132	562	3666
133	567	3666
134	571	3664
135	575	3653
136	579	3649
137	583	3641
138	586	3634
139	591	3631
140	595	3627
141	599	3620
142	603	3617
143	607	3611
144	611	3605
145	616	3603
146	620	3598
147	623	3591
148	627	3584
149	630	3575
150	635	3572
151	640	3573
152	644	3567
153	648	3561
154	653	3563
155	658	3561
156	663	3561
157	668	3562
158	673	3560
159	677	3556
160	681	3551
161	685	3545
162	692	3555
163	698	3561
164	702	3555
165	705	3546
166	709	3537
167	713	3534
168	717	3528
169	721	3522
170	724	3514
171	729	3511
172	733	3508
173	737	3502
174	741	3495
175	746	3495
176	750	3488
177	753	3479
178	756	3471
179	760	3466
180	764	3458
181	767	3449
182	770	3440
183	773	3431
184	777	3426
185	781	3419
186	784	3411
187	788	3407
188	792	3401
189	796	3395
190	799	3387
191	802	3377
192	805	3368
193	809	3362
194	812	3354
195	815	3346
196	819	3339
197	821	3329
198	825	3324
199	830	3321
200	833	3314
201	837	3306
202	841	3302
203	845	3297
204	847	3287
205	851	3280
206	855	3278
207	860	3275
208	864	3272
209	869	3270
210	873	3267
211	878	3263
212	882	3259
213	886	3256
214	891	3254
215	895	3250
216	898	3243
217	903	3241
218	906	3234
219	910	3227
220	914	3221
221	919	3221
222	922	3215
223	926	3210
224	930	3204
225	934	3200
226	938	3194
227	941	3187
228	944	3180
229	949	3177
230	953	3174
231	957	3170
232	961	3164
233	965	3159
234	969	3155
235	972	3146
236	976	3145
237	981	3141
238	986	3141
239	991	3139
240	997	3141
241	1002	3140
242	1008	3141
243	1014	3142
244	1019	3141
245	1024	3139
246	1029	3138
247	1034	3137
248	1040	3136
249	1045	3135
250	1049	3131
251	1054	3128
252	1060	3130
253	1064	3127
254	1069	3125
255	1075	3125
256	1080	3123
257	1085	3121
258	1090	3121
259	1101	3134
260	1108	3137
261	1113	3135
262	1117	3132
263	1123	3131
264	1127	3127
265	1131	3122
266	1136	3119
267	1141	3116
268	1145	3114
269	1151	3112
270	1155	3109
271	1159	3104
272	1163	3097
273	1167	3093
274	1171	3087
275	1174	3081
276	1178	3076
277	1183	3072
278	1186	3066
279	1190	3062
280	1195	3058
281	1200	3056
282	1205	3054
283	1210	3051
284	1215	3049
285	1220	3046
286	1224	3043
287	1230	3043
288	1235	3039
289	1240	3037
290	1245	3034
291	1250	3032
292	1286	3104
293	1300	3123
294	1305	3120
295	1311	3118
296	1316	3117
297	1321	3113
298	1326	3109
299	1330	3105
300	1334	3098
301	1338	3092
302	1343	3090
303	1346	3083
304	1350	3076
305	1353	3069
306	1357	3063
